Inhibitor,Ki_nM,IC50_nM,Kd_nM,EC50_nM,POC,Source,IMG_URL,ID_IN
STAUROSPORINE,n/a,n/a,3.5,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/Staurosporine.png,IN0000053
CID_451705,n/a,n/a,3500,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00031096.png,IN0000054
INCB18424,n/a,n/a,3500,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/INCB18424.png,IN0000055
CHEBI:668343,n/a,n/a,3800,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50298227.png,IN0000056
CHEMBL608533,n/a,n/a,3800,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50326053.png,IN0000057
KW_2449,n/a,n/a,3800,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/KW_2449.png,IN0000058
PKC_412,n/a,n/a,3800,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/PKC_412.png,IN0000059
CHEBI:259924,n/a,n/a,59,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50119072.png,IN0000060
EKB_569,n/a,n/a,59,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/EKB_569.png,IN0000061
R547,n/a,n/a,610,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/R547.png,IN0000062
FLAVOPIRIDOL,n/a,n/a,650,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50088605.png,IN0000063
IRESSA,n/a,n/a,6900,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00005447.png,IN0000064
GEFITINIB,n/a,n/a,6900,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/Gefitinib.png,IN0000065
CI_1033,n/a,n/a,7000,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/CI_1033.png,IN0000066
SKI_606,n/a,n/a,91,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/SKI_606.png,IN0000067
A_674563,n/a,n/a,92,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/A_674563.png,IN0000068
BI8,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/BI8.png,IN0000069
BIM-1,n/a,3463,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00002683.png,IN0000070
GSK_690693,n/a,n/a,250,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/GSK_690693.png,IN0000071
GSK_461364A,n/a,n/a,5800,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/GSK_461364A.png,IN0000072
ATP,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/ATP.png,IN0000073
BI1,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/BI1.png,IN0000074
CAS151342_35_7,n/a,n/a,n/a,n/a,36.19,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS151342_35_7.png,IN0000075
CHEMBL397521,n/a,12.9,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50219803.png,IN0000076
CHEMBL306580,n/a,130,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055684.png,IN0000077
CHEMBL1077369,n/a,14,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50311405.png,IN0000078
BALANOL ANALOG 2,n/a,1400,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00003150.png,IN0000079
CHEMBL307708,n/a,170,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055677.png,IN0000080
CHEMBL78129,n/a,1700,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055670.png,IN0000081
CID_1245524,n/a,1761,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037913.png,IN0000082
PYRAZOLE-PHENYL 3,n/a,186,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00025472.png,IN0000083
DEBROMOHYMENIALDISINE (DBH),n/a,190,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00016591.png,IN0000084
CHEMBL80525,n/a,1900,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055666.png,IN0000085
CHEMBL75004,n/a,220,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055681.png,IN0000086
CHEMBL75661,n/a,230,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055672.png,IN0000087
CHEMBL309034,n/a,250,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055676.png,IN0000088
CHEMBL262980,n/a,2600,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055679.png,IN0000089
BALANOL ANALOG 5,n/a,30,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00003153.png,IN0000090
CHEMBL312067,n/a,3000,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055665.png,IN0000091
CHEMBL1077372,n/a,3250,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50311408.png,IN0000092
CHEMBL1258913,n/a,332,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50327912.png,IN0000093
BALANOL ANALOG 3,n/a,350,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00003151.png,IN0000094
CHEMBL441802,n/a,3600,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055673.png,IN0000095
CID_5000908,n/a,3865,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037203.png,IN0000096
CHEMBL1077370,n/a,390,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50311406.png,IN0000097
SR3677,n/a,3968,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00025474.png,IN0000098
CHEMBL1077376,n/a,4.9,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50311410.png,IN0000099
ELLIPTECINE,n/a,4089,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50004233.png,IN0000100
CHEMBL306373,n/a,450,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055669.png,IN0000101
CHEMBL306623,n/a,4500,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055678.png,IN0000102
CHEMBL413460,n/a,5.3,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50199310.png,IN0000103
CHEMBL1077375,n/a,5.5,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50311409.png,IN0000104
CHEMBL432168,n/a,50,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055668.png,IN0000105
CHEMBL573578,n/a,500,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50298225.png,IN0000106
CHEMBL77970,n/a,5200,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055671.png,IN0000107
ARC-1012 15,n/a,54,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00027225.png,IN0000108
CID_2155099,n/a,5457,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037935.png,IN0000109
CHEMBL1077371,n/a,61,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50311407.png,IN0000110
CID_659902,n/a,6202,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037886.png,IN0000111
PYRIDINE-THIAZOLE 1,n/a,637,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00025470.png,IN0000112
CHEMBL323556,n/a,6641,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50216682.png,IN0000113
CID_3129049,n/a,6795,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037924.png,IN0000114
PYRIDINE-PHENYL 2,n/a,692,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00025471.png,IN0000115
BALANOL ANALOG 4,n/a,70,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00003152.png,IN0000116
CHEMBL76537,n/a,7500,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055674.png,IN0000117
ARC-902,n/a,8.3,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00027248.png,IN0000118
CHEMBL541388,n/a,853,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50196678.png,IN0000119
CID_756681,n/a,8705,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037931.png,IN0000120
CID_692133,n/a,8899,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037908.png,IN0000121
CID_658219,n/a,8944,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037879.png,IN0000122
CHEMBL308263,n/a,90,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055685.png,IN0000123
CID_212794,n/a,9310,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037933.png,IN0000124
CID_659763,n/a,9369,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037883.png,IN0000125
PYRAZOLE-PHENYL 4,n/a,940,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00025473.png,IN0000126
CHEMBL438491,n/a,97.3,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50219805.png,IN0000127
CID_820817,n/a,9779,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00037917.png,IN0000128
CHEMBL76920,n/a,&lt;330,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50055682.png,IN0000129
CHEMBL484990,n/a,&lt;50,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50279338.png,IN0000130
SB-202190,n/a,n/a,1700,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50104383.png,IN0000131
SB_202190,n/a,n/a,1700,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/SB_202190.png,IN0000132
CID_11409972,n/a,n/a,3700,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00031085.png,IN0000133
AST_487,n/a,n/a,3700,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/AST_487.png,IN0000134
R406,n/a,n/a,600,n/a,n/a,NB2011DRx,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011DRx/R406.png,IN0000135
ABT-869,n/a,n/a,6900,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00021079.png,IN0000136
ABT_869,n/a,n/a,6900,n/a,n/a,NB2008,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2008/ABT_869.png,IN0000137
CHEMBL1079040,1100,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310461.png,IN0000138
CHEMBL1079243,1200,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310476.png,IN0000139
CHEMBL1078426,1300,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310462.png,IN0000140
CHEMBL1078820,1400,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310460.png,IN0000141
CHEMBL1080970,1500,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310475.png,IN0000142
CHEMBL1080072,2500,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310471.png,IN0000143
CHEMBL1079135,2600,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310474.png,IN0000144
CHEMBL1079032,2800,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310469.png,IN0000145
CHEMBL1080071,34,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310470.png,IN0000146
CHEMBL1078930,380,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310459.png,IN0000147
CHEMBL1079294,540,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310456.png,IN0000148
CHEMBL1078929,600,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310458.png,IN0000149
CHEMBL1079295,720,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50310457.png,IN0000150
CHEMBL365286,960,n/a,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50168588.png,IN0000151
796,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/796.png,IN0000152
A03,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/A03.png,IN0000153
A67,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/A67.png,IN0000154
CAS120685_11_2,n/a,n/a,n/a,n/a,34,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS120685_11_2.png,IN0000155
CAS127243_85_0,n/a,n/a,n/a,n/a,10.51,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS127243_85_0.png,IN0000156
CAS135897_06_2,n/a,n/a,n/a,n/a,44.74,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS135897_06_2.png,IN0000157
CAS608512_97_6,n/a,n/a,n/a,n/a,40.08,NB2011RBC,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/NB2011RBC/CAS608512_97_6.png,IN0000158
IPH,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/IPH.png,IN0000159
L9L,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/L9L.png,IN0000160
L9M,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/L9M.png,IN0000161
L9N,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/L9N.png,IN0000162
SKE,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/SKE.png,IN0000163
VX6,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/VX6.png,IN0000164
XFE,n/a,n/a,n/a,n/a,n/a,PDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/PDB/XFE.png,IN0000165
MALEIMIDE DERIVATIVE 12,n/a,1.8,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00033970.png,IN0000166
ACYCLIC BALANOL ANALOG 35B,n/a,10,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD00003201.png,IN0000167
CHEMBL52654,n/a,10,n/a,n/a,n/a,BindingDB,http://gemdock.life.nctu.edu.tw/kidfammap/data/png/BindingDB/BD50128282.png,IN0000168
