chEMBL_ID,Molecule_name,Molecule_type,Molecular_formula,Molecular_weight,Synonyms
CHEMBL1956071,SB7720770B,Small molecule,C15H18N8O2,342.36,SB-7720770B
CHEMBL6246,ELLAGIC ACID,Small molecule,C14H6O8,302.19,"Benzoaric Acid, Ellagic Acid"
CHEMBL3544960,AT13148,Small molecule,C17H16ClN3O,313.79,AT-13148
CHEMBL1080901,CT98024,Small molecule,C20H17Cl2N9O2,486.32,CT-98024
CHEMBL412142,CHIR99021,Small molecule,C22H18Cl2N8,465.35,CHIR-99021
CHEMBL362558,LY2090314,Small molecule,C28H25FN6O3,512.55,LY-2090314
CHEMBL44,GENISTEIN,Small molecule,C15H10O5,270.24,NSC-36586
CHEMBL483321,CP724714,Small molecule,C27H27N5O3,469.55,CP-724714
CHEMBL607707,PELITINIB,Small molecule,C24H23ClFN5O2,467.93,"EKB-569, WAY-EKB-569, Pelitinib"
CHEMBL191003,JNJ7706621,Small molecule,C15H12F2N6O3S,394.36,JNJ-7706621
CHEMBL14762,SELICICLIB,Small molecule,C19H26N6O,354.46,"CYC-202, AL-39256, Seliciclib"
CHEMBL278041,SB202190,Small molecule,C20H14FN3O,331.35,SB-202190
CHEMBL440084,SB431542,Small molecule,C22H16N4O3,384.4,SB-431542
CHEMBL603097,SCH47089,Small molecule,C13H13N3O2,243.27,SCH-47089
CHEMBL1230607,PHA793887,Small molecule,C19H31N5O2,361.49,PHA-793887
CHEMBL225519,PHA767491,Small molecule,C12H11N3O,213.24,PHA-767491
CHEMBL460472,AMG458,Small molecule,C30H29N5O5,539.59,AMG-458
CHEMBL2036866,NSC750416,Small molecule,C19H17N5O2,347.38,NSC-750416
CHEMBL603463,NSC743304,Small molecule,C19H16N4O3,348.36,NSC-743304
CHEMBL2216825,LACTOQUINOMYCIN,Small molecule,C24H27NO8,457.48,Lactoquinomycin
CHEMBL598194,CCT129524,Small molecule,C19H21ClN6O,384.87,CCT129524
CHEMBL28509,EDELFOSINE,Small molecule,C27H58NO6P,523.74,Edelfosine
CHEMBL125,MILTEFOSINE,Small molecule,C21H46NO4P,407.58,"HDPC, Miltefosine, D-18506, Impavido, Miltex, Miltefosine"
CHEMBL1234354,PF04691502,Small molecule,C22H27N5O4,425.49,PF-04691502
CHEMBL55934,NAPHTHOQUINONE,Small molecule,C10H6O2,158.16,"Naphthoquinone 1, Naphthalene-1,4-Dione, 1,4-Naphthoquinone, 1,4-Naphtho-Quinone"
CHEMBL50,QUERCETIN,Small molecule,C15H10O7,302.24,"Meletin, C.I. Natural Red 1, Sophoretin, NSC-9219, Xanthaurine"
CHEMBL495766,ARC1031,Small molecule,C16H23N7O5,393.4,ARC-1031
CHEMBL501706,ARC1032,Small molecule,C22H35N11O6,549.59,ARC-1032
CHEMBL297394,ARC1012,Small molecule,C40H70N18O9,947.12,ARC-1012
CHEMBL524516,ARC1027,Small molecule,C52H94N26O11,1259.49,ARC-1027
CHEMBL525385,ARC1028,Small molecule,C64H118N34O13,1571.87,ARC-1028
CHEMBL505949,ARC1039,Small molecule,C37H63N17O9,890.02,ARC-1039
CHEMBL498924,ARC1044,Small molecule,C38H65N17O7,872.05,ARC-1044
CHEMBL241517,GW856804X,Small molecule,C19H13ClFN3O2S2,433.92,GW856804X
CHEMBL485745,GW434756X,Small molecule,C18H12FN3,289.31,GW434756X
CHEMBL1079921,SR6074,Small molecule,C25H27N5O2S,461.59,SR-6074
CHEMBL1080279,SR6494,Small molecule,C23H25N5O2S,435.55,SR-6494
CHEMBL1256459,TORIN1,Small molecule,C35H28F3N5O2,607.64,Torin1
CHEMBL38380,FASUDIL,Small molecule,C14H17N3O2S,291.38,"Fasudil, ZK-258594, AT-877, HA-1077"
CHEMBL559147,Y27632,Small molecule,C14H21N3O,247.34,Y-27632
CHEMBL384073,GSK180736A,Small molecule,C19H16FN5O2,365.37,GSK180736A
CHEMBL101892,SANGIVAMYCIN,Small molecule,C12H15N5O5,309.28,Sangivamycin
CHEMBL490,PAROXETINE,Small molecule,C19H20FNO3,329.37,"BRL-29060, Paxil, Paroxetine, Pexeva, Paxil [as hydrochloride]"
CHEMBL60254,BALANOL,Small molecule,C28H26N2O10,550.52,Balanol
CHEMBL258756,N-(4-Carboxymethene)Phenylpyrrole,Small molecule,C12H11NO2,201.22,N-(4-Carboxymethene)Phenylpyrrole
CHEMBL1740,RACEPINEPHRINE,Small molecule,C9H13NO3,183.21,"Racepinefrine, Racepinephrine, Vaponefrin"
CHEMBL434,ISOPROTERENOL,Small molecule,C11H17NO3,211.26,"Isoprenaline, Isoproterenol"
CHEMBL1760,TERBUTALINE,Small molecule,C12H19NO3,225.29,"Brethaire, Brethine, Terbutaline, Bricanyl"
CHEMBL776,METAPROTERENOL,Small molecule,C11H17NO3,211.26,"Orciprenaline, Metaproterenol"
CHEMBL327122,METATEROL,Small molecule,C11H17NO2,195.26,Metaterol
CHEMBL109378,DETERENOL,Small molecule,C11H17NO2,195.26,Deterenol
CHEMBL442229,BX201,Small molecule,C14H12N4O2,268.28,BX-201
CHEMBL228654,BX517,Small molecule,C15H14N4O2,282.3,BX-517
CHEMBL426078,SU6689,Small molecule,C15H14N2O2,254.29,SU-6689
CHEMBL577784,BX795,Small molecule,C23H26IN7O2S,591.48,BX-795
CHEMBL573108,BX320,Small molecule,C23H31BrN8O3,547.46,BX-320
CHEMBL118,CELECOXIB,Small molecule,C17H14F3N3O2S,381.38,"SC-58635, Celecoxib, Celecoxib, Celebra, Celebrex, Onsenal"
CHEMBL1650595,AR12,Small molecule,C26H19F3N4O,460.46,"OSU-03012, AR-12"
CHEMBL44541,MERIDIANIN C,Small molecule,C12H9BrN4,289.14,Meridianin C
CHEMBL388596,"2,6-DIAMINOPURINE",Small molecule,C5H6N6,150.15,"2,6-Diaminopurine"
CHEMBL1688208,2-PHENYLTHIAZOLE,Small molecule,C9H7NS,161.23,2-Phenylthiazole
CHEMBL1688211,"Benzo[E][1,2,4]Triazin-3-Amine",Small molecule,C7H6N4,146.15,"Benzo[E][1,2,4]Triazin-3-Amine"
CHEMBL266540,QUINAZOLINONE,Small molecule,C8H6N2O,146.15,"Quinazolin-4-ol, 4-quinazolone"
CHEMBL61743,ISOQUINOLIN-3-AMINE,Small molecule,C9H8N2,144.18,Isoquinolin-3-Amine
CHEMBL1172241,NERVIANO,Small molecule,C30H35N9O2,553.67,Nerviano
CHEMBL492828,ISOXANTHOHUMOL,Small molecule,C21H22O5,354.4,Isoxanthohumol
CHEMBL253896,XANTHOHUMOL,Small molecule,C21H22O5,354.4,Xanthohumol
CHEMBL123,ELLIPTECINE,Small molecule,C17H14N2,246.31,"TCMDC-125546, Ellipticine"
CHEMBL1353528,TDR77225,Small molecule,C15H14N6,278.32,TDR77225
CHEMBL1922219,CCT68127,Small molecule,C19H27N7O,369.47,CCT68127
CHEMBL397521,ARC6591B,Small molecule,C53H97N31O9,1312.57,ARC-6591B
CHEMBL438491,ARC6591A,Small molecule,C53H97N31O9,1312.57,ARC-6591A
CHEMBL365286,GW549034X,Small molecule,C11H11N5O,229.24,GW549034X
CHEMBL574737,UCN01,Small molecule,C28H26N4O4,482.54,"KW-2401, UCN-01, KRX-0601, UCN-02"
CHEMBL16958,STAUROSPORINONE,Small molecule,C20H13N3O,311.34,K-252C
CHEMBL7463,GF109203,Small molecule,C25H24N4O2,412.49,"GF-109203X, GF-109203"
CHEMBL565612,SOTRASTAURIN,Small molecule,C25H22N6O2,438.49,"NVP-AEB071, AEB-071, AEB071, Sotrastaurin"
CHEMBL1112,ARIPIPRAZOLE,Small molecule,C23H27Cl2N3O2,448.39,"Aripiprazole, OPC-31, OPC-14597, Aripiprazole, Abilify mycite kit, Abilify Maintena, Abilify maintena kit, Abilify"
CHEMBL449158,BRYOSTATIN,Small molecule,C47H68O17,905.04,"Bryostatin 1, Bryostatin"
CHEMBL267144,BenzolactamV8,Small molecule,C15H22N2O2,262.35,Benzolactam-V8
CHEMBL95692,SB242235,Small molecule,C19H20FN5O,353.4,SB-242235
CHEMBL97162,SB239063,Small molecule,C20H21FN4O2,368.41,SB-239063
CHEMBL411901,CGP74514,Small molecule,C19H24ClN7,385.9,CGP-74514
CHEMBL128547,NSC115290,Small molecule,C24H22N2O7S,482.51,NSC-115290
CHEMBL292495,LY326449,Small molecule,C26H23N3O4,441.49,LY-326449
CHEMBL370100,REBECCAMYCIN,Small molecule,C27H21Cl2N3O7,570.39,Rebeccamycin
CHEMBL302449,GO6976,Small molecule,C24H18N4O,378.44,Go-6976
CHEMBL23327,PURVALANOLA,Small molecule,C19H25ClN6O,388.9,"Purvalanol A, Piceatannol, Purvalanola"
CHEMBL6291,BISINDOLYLMALEIMIDE IX,Small molecule,C25H23N5O2S,457.56,Ro-318220
CHEMBL1952210,Ro4383596,Small molecule,C24H25N5O3,431.5,Ro-4383596
CHEMBL7917,TYRPHOSTIN AG1478,Small molecule,C16H14ClN3O2,315.76,AG-1478
CHEMBL399981,1-Hexylindolactam-V,Small molecule,C23H35N3O2,385.55,1-Hexylindolactam-V
CHEMBL26241,KRM7777,Small molecule,C11H12N2O2S,236.3,KRM-7777
CHEMBL512208,KRM195,Small molecule,C17H15FN2O2S,330.38,KRM-195
CHEMBL449063,KRM189,Small molecule,C10H9ClN2O2S,256.71,KRM-189
CHEMBL509516,BRYOSTATIN 16,Small molecule,C42H62O14,790.94,Bryostatin 16
CHEMBL452391,BRYOSTATIN 17,Small molecule,C42H62O14,790.94,"Delta 19,20-Bryostatin 10, Bryostatin 17"
CHEMBL505767,BRYOSTATIN 18,Small molecule,C42H64O15,808.96,Bryostatin 18
CHEMBL501262,BRYOSTATIN 10,Small molecule,C42H64O15,808.96,Bryostatin 10
CHEMBL1784623,HIPPOLIDE E,Small molecule,C25H38O4,402.58,Hippolide E
CHEMBL165,RESVERATROL,Small molecule,C14H12O3,228.25,"(E)-resveratrol, 3,5,4'-Trihydroxy-trans-stilbene, Resveratrol"
CHEMBL296411,TRISMETHOXYRESVERATROL,Small molecule,C17H18O3,270.33,"(E)-3,5,4'-Trimethoxystilbene, (E)-3,5,40-Trimethoxystilbene, 3,5,4'-Trimethoxystilbene, 8E-3,4',5-Trimethoxystilbene, Trans-3,4',5-Trimethoxystilbene, Trismethoxyresveratrol"
CHEMBL259850,ARA014418,Small molecule,C12H12N4O4S,308.32,AR-A014418
CHEMBL340259,INDOLYLYLMALEIMIDE 2,Small molecule,C28H27N3O5,485.54,Indolylylmaleimide 2
CHEMBL340935,INDOLYLYLMALEIMIDE 1,Small molecule,C27H26N4O5,486.53,Indolylylmaleimide 1
CHEMBL266487,RO316233,Small molecule,C20H13N3O2,327.34,Ro-31-6233
CHEMBL261592,BMS645737,Small molecule,C20H20N8O,388.44,BMS-645737
CHEMBL452413,PLANTAINOSIDE D,Small molecule,C29H36O16,640.59,Plantainoside D
CHEMBL504363,FORSYTHIASIDE,Small molecule,C29H36O15,624.59,Forsythiaside
CHEMBL499145,POLIUMOSIDE,Small molecule,C35H46O19,770.73,Poliumoside
CHEMBL504574,NSC73306,Small molecule,C16H14N4O2S,326.38,NSC-73306
CHEMBL26501,RO320432,Small molecule,C28H28N4O2,452.56,Ro-32-0432
CHEMBL1233524,MK3281,Small molecule,C29H37N3O3,475.63,MK-3281
CHEMBL2177736,PRT2607,Small molecule,C19H23N9O,393.45,"PRT-2607, P505-15, PRT-062607, BIIB-057"
CHEMBL294120,LY317644,Small molecule,C27H25N3O4,455.51,LY-317644
CHEMBL80460,PLATANIC ACID,Small molecule,C29H46O4,458.68,Platanic Acid
CHEMBL23236,BETULIN,Small molecule,C30H50O2,442.73,Betulin
CHEMBL509422,Betulinic Acid 28-O-Carboxymethylmethylate,Small molecule,C33H52O5,528.77,Betulinic Acid 28-O-Carboxymethylmethylate
CHEMBL312687,3-Acetylbetulinic Acid,Small molecule,C32H50O4,498.75,"3-Acetylbetulinic Acid, 3-O-Acetyl Betulinic Acid, Betulinic Acid 3-O-Acetate, (3-O-Acetyl)Betulinic Acid"
CHEMBL509553,Betulinic Acid 3-O-Benzoate,Small molecule,C37H52O4,560.82,Betulinic Acid 3-O-Benzoate
CHEMBL448637,Betulinic Acid 3-O-Crotonate,Small molecule,C34H52O4,524.79,Betulinic Acid 3-O-Crotonate
CHEMBL446317,Betulinic Acid 3-O-Succinate,Small molecule,C34H52O6,556.78,Betulinic Acid 3-O-Succinate
CHEMBL129,ZIDOVUDINE,Small molecule,C10H13N5O4,267.25,"AZT, Azidothymidine, Compound S, BW-A509U, BWA509U, Zidovudine, Retrovir, BW-A-509U, Azidothymidine, Retrovir, Zidovudine, AZT"
CHEMBL162,GNFPf1389,Small molecule,C28H26N4O3,466.54,"GNF-Pf-1389, AM-2282"
CHEMBL477,ADENOSINE,Small molecule,C10H13N5O4,267.25,"Adenosine, SR-96225, Adenoscan, Adenosine, Adenocor, Adenocard"
CHEMBL275750,AD198,Small molecule,C40H45NO11,715.8,AD-198
CHEMBL180239,CURCUMIN PYRAZOLE,Small molecule,C21H20N2O4,364.4,Curcumin pyrazole
CHEMBL13045,CHELERYTHRINE,Small molecule,C21H18NO4+,348.38,Chelerythrine
CHEMBL1782082,HIPPOLIDE A,Small molecule,C25H37NO4,415.57,Hippolide A
CHEMBL230006,ENOXOLONE,Small molecule,C30H46O4,470.69,"Glycyrrhetic Acid, NSC-35350, Enoxolone, Rhetinic Acid, NSC-35347, Uralenic Acid"
CHEMBL1614725,TAK285,Small molecule,C26H25ClF3N5O3,547.97,TAK-285
CHEMBL230446,8-pCPT-cGMP,Small molecule,C16H15ClN5O7PS,487.82,8-pCPT-cGMP
CHEMBL1233300,HYDROXYFASUDIL,Small molecule,C14H17N3O3S,307.38,Hydroxy-Fasudil
CHEMBL406821,H1152P,Small molecule,C16H21N3O2S,319.43,H-1152P
CHEMBL189657,SB729743,Small molecule,C10H10N6O,230.23,SB-729743
CHEMBL220465,GSK248233A,Small molecule,C25H24N8O3,484.52,GSK248233A
CHEMBL374453,GSK299115A,Small molecule,C20H16Cl2N4O2,415.28,GSK299115A
CHEMBL441702,GSK270822A,Small molecule,C24H20N4O2,396.45,GSK270822A
CHEMBL218720,GSK466314A,Small molecule,C22H19F3N4O2,428.41,GSK466314A
CHEMBL427058,GSK466317A,Small molecule,C21H16ClF3N4O2,448.83,GSK466317A
CHEMBL485598,GSK317354A,Small molecule,C25H18F4N6O,494.45,GSK317354A
CHEMBL2005186,SLx2119,Small molecule,C26H24N6O2,452.52,"SLx-2119, KD-025"
CHEMBL571948,Y39983,Small molecule,C16H16N4O,280.33,Y-39983
CHEMBL1956072,SB742548,Small molecule,C17H18ClN7O,371.83,SB-742548
CHEMBL1980297,ILORASERTIB,Small molecule,C25H21FN6O2S,488.55,"Ilorasertib, A-968660, ABT-348, ABT-348, A-968660"
CHEMBL17551,5-Aminoindazole,Small molecule,C7H7N3,133.15,5-Aminoindazole
CHEMBL1667969,SAR407899,Small molecule,C14H16N2O2,244.29,SAR-407899
CHEMBL275224,NORHARMANE,Small molecule,C11H8N2,168.2,"norharmane, norharman, beta-carboline"
CHEMBL1385840,ERGOCORNINE,Small molecule,C31H39N5O5,561.68,Ergocornine
CHEMBL216973,5-Aminoisoquinoline,Small molecule,C9H8N2,144.18,5-Aminoisoquinoline
CHEMBL602837,GNFPf4369,Small molecule,C14H14N6O4,330.3,GNF-Pf-4369
CHEMBL228792,KINETIN,Small molecule,C10H9N5O,215.22,Kinetin
CHEMBL238744,SR889,Small molecule,C19H19ClN4O2,370.84,SR-889
CHEMBL397114,SR1360,Small molecule,C14H19N5O,273.34,SR-1360
CHEMBL239150,SR899,Small molecule,C19H19BrN4O2,415.29,SR-899
